# Created by LNB-MDT v1.0
# Anisotropy
# TYPE:Bubble
# Parameters:{'CHOL': ['ROH'], 'DPPC': ['PO4'], 'DUPC': ['PO4']}
Time (ns),Values
0.0,0.641
0.1,0.63
0.2,0.636
0.3,0.558
0.4,0.562
0.5,0.506
0.6,0.449
0.7,0.472
0.8,0.392
0.9,0.387
1.0,0.415
1.1,0.314
1.2,0.419
1.3,0.403
1.4,0.347
1.5,0.462
1.6,0.485
1.7,0.535
1.8,0.448
1.9,0.45
2.0,0.417
2.1,0.425
2.2,0.395
2.3,0.489
2.4,0.52
2.5,0.474
2.6,0.449
2.7,0.361
2.8,0.465
2.9,0.392
3.0,0.465
3.1,0.485
3.2,0.483
3.3,0.485
3.4,0.487
3.5,0.426
3.6,0.42
3.7,0.419
3.8,0.408
3.9,0.407
4.0,0.385
4.1,0.467
4.2,0.43
4.3,0.397
4.4,0.409
4.5,0.354
4.6,0.314
4.7,0.351
4.8,0.33
4.9,0.377
5.0,0.421
5.1,0.398
5.2,0.399
5.3,0.355
5.4,0.406
5.5,0.482
5.6,0.513
5.7,0.487
5.8,0.446
5.9,0.432
6.0,0.26
6.1,0.314
6.2,0.415
6.3,0.416
6.4,0.34
6.5,0.399
6.6,0.44
6.7,0.318
6.8,0.453
6.9,0.429
7.0,0.427
7.1,0.425
7.2,0.288
7.3,0.381
7.4,0.432
7.5,0.431
7.6,0.44
7.7,0.405
7.8,0.488
7.9,0.443
