# Created by LNB-MDT v1.0
# Bubble Area(nm^2)
# DPPC:DUPC:CHOL=401:240:160
# TYPE:Bubble
# Parameters:{'DPPC': ['PO4'], 'DUPC': ['PO4'], 'CHOL': ['ROH']}K:20, MaxAngle:180
Frames,Values
0,0.865
1,0.859
2,0.86
3,0.855
4,0.849
5,0.853
6,0.848
7,0.853
8,0.851
9,0.849
10,0.847
11,0.848
12,0.846
13,0.845
14,0.846
15,0.846
16,0.853
17,0.847
18,0.85
19,0.847
20,0.847
21,0.854
22,0.85
23,0.85
24,0.843
25,0.848
26,0.852
27,0.85
28,0.842
29,0.851
30,0.846
31,0.847
32,0.854
33,0.841
34,0.848
35,0.85
36,0.84
37,0.846
38,0.842
39,0.851
40,0.84
41,0.839
42,0.848
43,0.844
44,0.846
45,0.85
46,0.845
47,0.838
48,0.846
49,0.844
50,0.843
51,0.847
52,0.844
53,0.84
54,0.846
55,0.845
56,0.844
57,0.843
58,0.838
59,0.84
60,0.845
61,0.85
62,0.851
63,0.839
64,0.842
65,0.831
66,0.835
67,0.847
68,0.842
69,0.835
70,0.84
71,0.839
72,0.844
73,0.836
74,0.842
75,0.847
76,0.844
77,0.843
78,0.841
79,0.841
80,0.849
