# Created by LNB-MDT v1.0
# Bubble Area(nm^2)
# DPPC:DUPC:CHOL=401:240:160
# TYPE:Bubble
# Parameters:k=20, angle=140
Frames,Values
0,4.504
1,7.37
2,2.154
3,2.567
4,9.411
5,2.93
6,2.758
7,4.959
8,5.964
9,2.794
10,2.324
11,3.824
12,3.304
13,2.176
14,2.122
15,2.251
16,6.099
17,15.942
18,3.241
19,2.158
20,2.687
21,3.767
22,3.009
23,3.987
24,2.024
25,4.074
26,5.185
27,2.787
28,2.516
29,3.457
30,6.249
31,2.709
32,3.817
33,2.637
34,2.135
35,4.028
36,11.082
37,3.863
38,2.049
39,2.011
40,5.463
41,3.365
42,2.456
43,3.276
44,5.847
45,2.719
46,3.167
47,10.041
48,2.627
49,5.062
50,3.477
51,4.259
52,5.11
53,2.614
54,3.164
55,3.636
56,2.414
57,3.263
58,6.088
59,3.309
60,9.02
61,7.089
62,2.806
63,2.901
64,2.497
65,2.588
66,3.09
67,2.692
68,8.596
69,4.51
70,1.961
71,12.763
72,2.684
73,2.501
74,3.082
75,8.91
76,2.264
77,2.685
78,2.892
79,2.266
80,2.723
