# Created by LNB-MDT v1.0
# Bubble Area(nm^2)
# CHOL:DPPC:DUPC=160:401:240
# TYPE:Bubble
# Parameters:{'CHOL': ['ROH'], 'DPPC': ['PO4'], 'DUPC': ['PO4']}K:21, MaxAngle:140
# TIME_UNIT:ns
Time (ns),Values
0.0,0.861
0.1,0.869
0.2,0.875
0.3,0.869
0.4,0.875
0.5,0.91
0.6,0.901
0.7,0.861
0.8,0.868
0.9,0.88
1.0,0.848
1.1,0.844
1.2,0.865
1.3,0.854
1.4,0.834
1.5,0.831
1.6,0.869
1.7,0.855
1.8,0.886
1.9,0.872
2.0,0.885
2.1,0.883
2.2,0.903
2.3,0.862
2.4,0.854
2.5,0.9
2.6,0.936
2.7,0.875
2.8,0.859
2.9,0.9
3.0,0.83
3.1,0.878
3.2,0.832
3.3,0.853
3.4,0.86
3.5,0.857
3.6,0.872
3.7,0.919
3.8,0.882
3.9,0.84
4.0,0.879
4.1,0.901
4.2,0.844
4.3,0.852
4.4,0.882
4.5,0.893
4.6,0.85
4.7,0.805
4.8,0.831
4.9,0.914
5.0,0.888
5.1,0.876
5.2,0.901
5.3,0.891
5.4,0.851
5.5,0.878
5.6,0.864
5.7,0.883
5.8,0.848
5.9,0.877
6.0,0.868
6.1,0.852
6.2,0.891
6.3,0.878
6.4,0.837
6.5,0.846
6.6,0.863
6.7,0.865
6.8,0.849
6.9,0.836
7.0,0.853
7.1,0.848
7.2,0.861
7.3,0.886
7.4,0.887
7.5,0.916
7.6,0.87
7.7,0.854
7.8,0.896
7.9,0.884
