# Created by LNB-MDT v1.0
# Largest Cluster Size
# TYPE:Bubble
# Parameters:{'CHOL': ['R1'], 'DPPC': ['GL1', 'GL2']}Cutoff:7
Time (ns),Values
0.0,15
0.1,13
0.2,17
0.3,14
0.4,24
0.5,12
0.6,14
0.7,13
0.8,17
0.9,11
1.0,13
1.1,12
1.2,17
1.3,13
1.4,14
1.5,18
1.6,12
1.7,12
1.8,18
1.9,18
2.0,13
2.1,14
2.2,11
2.3,15
2.4,13
2.5,19
2.6,13
2.7,13
2.8,23
2.9,13
3.0,19
3.1,15
3.2,15
3.3,17
3.4,11
3.5,13
3.6,21
3.7,16
3.8,16
3.9,15
4.0,12
4.1,13
4.2,28
4.3,12
4.4,20
4.5,18
4.6,24
4.7,21
4.8,17
4.9,15
5.0,20
5.1,18
5.2,18
5.3,18
5.4,13
5.5,19
5.6,17
5.7,18
5.8,18
5.9,14
6.0,14
6.1,20
6.2,14
6.3,19
6.4,19
6.5,16
6.6,18
6.7,20
6.8,23
6.9,14
7.0,20
7.1,20
7.2,15
7.3,14
7.4,17
7.5,16
7.6,26
7.7,29
7.8,23
7.9,14
