# Created by LNB-MDT v1.0
# Largest Cluster Size
# TYPE:Bubble
# Parameters:{'DPPC': ['PO4'], 'DUPC': ['PO4'], 'CHOL': ['ROH']}Cutoff:10.0
Frames,Values
0,455
1,324
2,127
3,292
4,502
5,407
6,413
7,166
8,268
9,322
10,187
11,167
12,801
13,801
14,801
15,801
16,240
17,301
18,191
19,210
20,801
21,801
22,801
23,801
24,154
25,235
26,227
27,228
28,162
29,179
30,267
31,341
32,272
33,142
34,163
35,425
36,280
37,231
38,173
39,203
40,157
41,120
42,133
43,184
44,179
45,133
46,205
47,129
48,312
49,144
50,374
51,190
52,444
53,267
54,212
55,211
56,146
57,255
58,126
59,375
60,196
61,195
62,273
63,291
64,801
65,801
66,801
67,801
68,801
69,801
70,801
71,801
72,182
73,472
74,331
75,210
76,252
77,293
78,302
79,136
80,160
