# Created by LNB-MDT v1.0
# Largest Cluster Size
# TYPE:Bubble
# Parameters:{'DPPC': ['PO4'], 'DUPC': ['PO4'], 'CHOL': ['ROH']}Cutoff:10.0
Frames,Values
0,455
1,324
2,127
3,292
4,502
5,407
6,413
7,166
8,268
9,322
10,187
11,167
12,161
13,131
14,132
15,190
16,240
17,301
18,191
19,210
20,188
21,127
22,65
23,204
24,154
25,235
26,227
27,228
28,162
29,179
30,267
31,341
32,272
33,142
34,163
35,425
36,280
37,231
38,173
39,203
40,157
41,120
42,133
43,184
44,179
45,133
46,205
47,129
48,312
49,144
50,374
51,190
52,444
53,267
54,212
55,211
56,146
57,255
58,126
59,375
60,196
61,195
62,273
63,291
64,75
65,242
66,513
67,172
68,282
69,175
70,235
71,192
72,182
73,472
74,331
75,210
76,252
77,293
78,302
79,136
80,160
