# Created by LNB-MDT v1.0
# Bubble Mean Curvature (nm-1)
# DPPC:DAPC:CHOL=401:0:160
# TYPE:Bubble
# Parameters:{'DPPC': ['PO4'], 'DAPC': ['PO4'], 'CHOL': ['ROH']}, K:20, Method:mean
Frames,Values
0,0.114
1,0.111
2,0.107
3,0.107
4,0.109
5,0.106
6,0.11
7,0.102
8,0.106
9,0.114
10,0.104
11,0.105
12,0.107
13,0.108
14,0.119
15,0.111
16,0.122
17,0.11
18,0.113
19,0.113
20,0.117
21,0.113
22,0.117
23,0.114
24,0.125
25,0.119
26,0.114
27,0.118
28,0.113
29,0.116
30,0.109
31,0.124
32,0.115
33,0.105
34,0.105
35,0.104
36,0.105
37,0.103
38,0.104
39,0.1
40,0.116
41,0.111
42,0.106
43,0.112
44,0.115
45,0.108
46,0.118
47,0.113
48,0.109
49,0.115
50,0.112
51,0.109
52,0.108
53,0.106
54,0.102
55,0.1
56,0.114
57,0.108
58,0.109
59,0.115
60,0.111
61,0.109
62,0.116
63,0.118
64,0.112
65,0.113
66,0.115
67,0.109
68,0.106
69,0.106
70,0.109
71,0.112
72,0.109
73,0.112
74,0.107
75,0.109
76,0.104
77,0.109
78,0.106
79,0.108
80,0.113
