# Created by LNB-MDT v1.0
# Gyration (nm)
# TYPE:Bubble
# Parameters:{'CHOL': ['ROH'], 'DPPC': ['PO4'], 'DUPC': ['PO4']}
Time (ns),Values
0.0,7.466
0.1,7.429
0.2,7.42
0.3,7.403
0.4,7.375
0.5,7.392
0.6,7.385
0.7,7.395
0.8,7.399
0.9,7.401
1.0,7.366
1.1,7.368
1.2,7.372
1.3,7.379
1.4,7.379
1.5,7.375
1.6,7.408
1.7,7.372
1.8,7.404
1.9,7.375
2.0,7.38
2.1,7.407
2.2,7.397
2.3,7.401
2.4,7.37
2.5,7.381
2.6,7.403
2.7,7.386
2.8,7.359
2.9,7.39
3.0,7.372
3.1,7.374
3.2,7.392
3.3,7.355
3.4,7.371
3.5,7.368
3.6,7.335
3.7,7.36
3.8,7.35
3.9,7.368
4.0,7.346
4.1,7.337
4.2,7.379
4.3,7.375
4.4,7.365
4.5,7.39
4.6,7.36
4.7,7.338
4.8,7.377
4.9,7.368
5.0,7.355
5.1,7.371
5.2,7.345
5.3,7.338
5.4,7.371
5.5,7.355
5.6,7.364
5.7,7.355
5.8,7.336
5.9,7.347
6.0,7.363
6.1,7.375
6.2,7.393
6.3,7.351
6.4,7.343
6.5,7.297
6.6,7.321
6.7,7.362
6.8,7.338
6.9,7.316
7.0,7.348
7.1,7.345
7.2,7.356
7.3,7.324
7.4,7.337
7.5,7.372
7.6,7.346
7.7,7.351
7.8,7.328
7.9,7.342
