# Created by LNB-MDT v1.0
# Bubble Height (nm)
# DUPC:DPPC:CHOL=240:401:160
# TYPE:Bubble
# Parameters:{'DUPC': (['PO4'], ['C4A', 'C4B']), 'DPPC': (['PO4'], ['C4A', 'C4B']), 'CHOL': (['ROH'], ['R5'])}K:21
# TIME_UNIT:ns
Time (ns),Values
0.0,5.914
0.1,5.892
0.2,5.875
0.3,5.89
0.4,5.877
0.5,5.906
0.6,5.884
0.7,5.91
0.8,5.923
0.9,5.913
1.0,5.864
1.1,5.867
1.2,5.887
1.3,5.881
1.4,5.901
1.5,5.857
1.6,5.878
1.7,5.827
1.8,5.894
1.9,5.869
2.0,5.865
2.1,5.921
2.2,5.934
2.3,5.905
2.4,5.879
2.5,5.868
2.6,5.89
2.7,5.906
2.8,5.906
2.9,5.917
3.0,5.906
3.1,5.886
3.2,5.916
3.3,5.879
3.4,5.907
3.5,5.897
3.6,5.859
3.7,5.894
3.8,5.874
3.9,5.874
4.0,5.861
4.1,5.854
4.2,5.889
4.3,5.881
4.4,5.87
4.5,5.906
4.6,5.88
4.7,5.859
4.8,5.912
4.9,5.888
5.0,5.881
5.1,5.852
5.2,5.864
5.3,5.866
5.4,5.918
5.5,5.894
5.6,5.89
5.7,5.916
5.8,5.895
5.9,5.877
6.0,5.893
6.1,5.863
6.2,5.899
6.3,5.857
6.4,5.847
6.5,5.811
6.6,5.813
6.7,5.852
6.8,5.803
6.9,5.807
7.0,5.849
7.1,5.845
7.2,5.852
7.3,5.808
7.4,5.847
7.5,5.871
7.6,5.844
7.7,5.842
7.8,5.794
7.9,5.839
