# Created by LNB-MDT v1.0
# Gyration (nm)
# TYPE:Bubble
# Parameters:{'DPPC': ['PO4'], 'DAPC': ['PO4'], 'CHOL': ['ROH']}
Frames,Values
0,7.427
1,7.392
2,7.382
3,7.368
4,7.339
5,7.36
6,7.361
7,7.363
8,7.368
9,7.381
10,7.331
11,7.341
12,7.341
13,7.339
14,7.349
15,7.339
16,7.38
17,7.335
18,7.372
19,7.346
20,7.352
21,7.382
22,7.365
23,7.374
24,7.346
25,7.356
26,7.375
27,7.356
28,7.33
29,7.355
30,7.345
31,7.344
32,7.352
33,7.325
34,7.336
35,7.328
36,7.296
37,7.322
38,7.322
39,7.325
40,7.313
41,7.309
42,7.351
43,7.347
44,7.33
45,7.351
46,7.318
47,7.292
48,7.335
49,7.335
50,7.314
51,7.337
52,7.313
53,7.304
54,7.352
55,7.326
56,7.329
57,7.318
58,7.301
59,7.322
60,7.327
61,7.342
62,7.351
63,7.321
64,7.305
65,7.251
66,7.283
67,7.324
68,7.3
69,7.285
70,7.32
71,7.303
72,7.318
73,7.291
74,7.291
75,7.324
76,7.304
77,7.308
78,7.28
79,7.298
80,7.331
