# Created by LNB-MDT v1.0
# Bubble Height (nm)
# CHOL:DPPC:DUPC=160:401:240
# TYPE:Bubble
# Parameters:{'CHOL': (['ROH'], ['R5']), 'DPPC': (['PO4'], ['C4A', 'C4B']), 'DUPC': (['PO4'], ['C4A', 'C4B'])}K:21
# TIME_UNIT:ns
Time (ns),Values
0.0,7.323
0.1,7.267
0.2,7.209
0.3,7.234
0.4,7.196
0.5,7.222
0.6,7.237
0.7,7.244
0.8,7.283
0.9,7.295
1.0,7.242
1.1,7.257
1.2,7.233
1.3,7.325
1.4,7.3
1.5,7.28
1.6,7.305
1.7,7.281
1.8,7.344
1.9,7.27
2.0,7.252
2.1,7.287
2.2,7.334
2.3,7.29
2.4,7.25
2.5,7.285
2.6,7.273
2.7,7.315
2.8,7.269
2.9,7.317
3.0,7.295
3.1,7.295
3.2,7.292
3.3,7.283
3.4,7.305
3.5,7.304
3.6,7.278
3.7,7.313
3.8,7.328
3.9,7.293
4.0,7.282
4.1,7.29
4.2,7.325
4.3,7.326
4.4,7.323
4.5,7.325
4.6,7.281
4.7,7.286
4.8,7.329
4.9,7.313
5.0,7.294
5.1,7.299
5.2,7.241
5.3,7.276
5.4,7.309
5.5,7.274
5.6,7.298
5.7,7.279
5.8,7.294
5.9,7.297
6.0,7.312
6.1,7.31
6.2,7.333
6.3,7.293
6.4,7.284
6.5,7.241
6.6,7.25
6.7,7.316
6.8,7.289
6.9,7.275
7.0,7.315
7.1,7.305
7.2,7.317
7.3,7.247
7.4,7.301
7.5,7.32
7.6,7.292
7.7,7.318
7.8,7.284
7.9,7.307
