# Created by LNB-MDT v1.0
# Number of Clusters
# TYPE:Bubble
# Parameters:{'DAPC': ['GL1', 'GL2'], 'DPPC': ['PO4']}, N_cutoff:10, Cutoff:12.0
Frames,Values
0,9
1,11
2,12
3,9
4,12
5,12
6,11
7,12
8,11
9,11
10,10
11,13
12,9
13,8
14,9
15,11
16,10
17,11
18,9
19,12
20,12
21,14
22,11
23,9
24,12
25,9
26,12
27,10
28,11
29,12
30,13
31,11
32,10
33,14
34,11
35,11
36,8
37,9
38,9
39,10
40,14
41,12
42,9
43,9
44,7
45,8
46,12
47,7
48,9
49,9
50,11
51,10
52,7
53,9
54,11
55,10
56,11
57,8
58,7
59,6
60,8
61,12
62,11
63,8
64,9
65,8
66,10
67,13
68,7
69,9
70,6
71,10
72,9
73,7
74,7
75,7
76,14
77,9
78,6
79,14
80,6
