# Created by LNB-MDT v1.0
# PCA Variance Ratio (min/max)
# TYPE:Bubble
# Parameters:{'DPPC': ['PO4'], 'DAPC': ['PO4'], 'CHOL': ['ROH']}
Frames,Values
0,0.787
1,0.8
2,0.792
3,0.849
4,0.841
5,0.877
6,0.867
7,0.85
8,0.858
9,0.86
10,0.847
11,0.913
12,0.878
13,0.887
14,0.882
15,0.835
16,0.822
17,0.797
18,0.831
19,0.847
20,0.857
21,0.851
22,0.86
23,0.845
24,0.842
25,0.848
26,0.841
27,0.878
28,0.827
29,0.853
30,0.829
31,0.811
32,0.81
33,0.816
34,0.815
35,0.85
36,0.852
37,0.844
38,0.849
39,0.853
40,0.843
41,0.811
42,0.843
43,0.848
44,0.834
45,0.883
46,0.9
47,0.886
48,0.89
49,0.88
50,0.855
51,0.867
52,0.889
53,0.873
54,0.852
55,0.818
56,0.792
57,0.816
58,0.829
59,0.85
60,0.887
61,0.897
62,0.886
63,0.86
64,0.886
65,0.879
66,0.866
67,0.878
68,0.837
69,0.838
70,0.833
71,0.839
72,0.871
73,0.858
74,0.863
75,0.871
76,0.841
77,0.852
78,0.818
79,0.855
80,0.85
