# Created by LNB-MDT v1.0
# Density With Times
# TYPE:Bubble
# Parameters:{'CHOL': ['ROH'], 'DPPC': ['PO4'], 'DUPC': ['PO4']}, {'N2': ['N2']}, Radius:50, MW:14
Time (ns),Values
0.0,16.033
0.1,16.146
0.2,16.387
0.3,16.484
0.4,16.263
0.5,16.338
0.6,16.322
0.7,16.345
0.8,16.346
0.9,16.249
1.0,16.381
1.1,16.338
1.2,16.428
1.3,16.107
1.4,16.196
1.5,16.259
1.6,16.051
1.7,16.264
1.8,16.159
1.9,16.207
2.0,16.15
2.1,16.093
2.2,16.134
2.3,16.111
2.4,16.266
2.5,16.172
2.6,16.15
2.7,16.178
2.8,16.158
2.9,16.072
3.0,16.237
3.1,15.99
3.2,16.029
3.3,16.219
3.4,15.98
3.5,16.341
3.6,16.196
3.7,16.08
3.8,16.282
3.9,16.172
4.0,16.258
4.1,16.33
4.2,15.85
4.3,15.899
4.4,15.994
4.5,15.92
4.6,16.129
4.7,16.272
4.8,15.9
4.9,15.903
5.0,15.846
5.1,16.033
5.2,16.1
5.3,15.94
5.4,15.643
5.5,16.021
5.6,16.122
5.7,16.031
5.8,16.081
5.9,15.892
6.0,16.014
6.1,15.919
6.2,15.847
6.3,15.903
6.4,15.926
6.5,16.238
6.6,16.045
6.7,15.879
6.8,15.926
6.9,15.985
7.0,15.875
7.1,15.957
7.2,15.996
7.3,15.997
7.4,16.089
7.5,15.693
7.6,15.94
7.7,15.782
7.8,16.072
7.9,15.81
