# Created by LNB-MDT v1.0
# Bubble Sz Order Parameter (chain: sn1 and sn2)
# DPPC:DUPC=401:240
# TYPE:Bubble
# Parameters:{'DPPC': ['PO4'], 'DUPC': ['PO4']}, Chain:sn1 and sn2, K:21
# TIME_UNIT:ns
Time (ns),Values
0.0,0.31
0.1,0.32
0.2,0.312
0.3,0.32
0.4,0.316
0.5,0.314
0.6,0.299
0.7,0.302
0.8,0.294
0.9,0.307
1.0,0.318
1.1,0.301
1.2,0.31
1.3,0.327
1.4,0.291
1.5,0.317
1.6,0.295
1.7,0.321
1.8,0.305
1.9,0.311
2.0,0.324
2.1,0.309
2.2,0.297
2.3,0.309
2.4,0.32
2.5,0.307
2.6,0.311
2.7,0.326
2.8,0.324
2.9,0.324
3.0,0.305
3.1,0.296
3.2,0.301
3.3,0.325
3.4,0.298
3.5,0.306
3.6,0.309
3.7,0.328
3.8,0.315
3.9,0.307
4.0,0.314
4.1,0.297
4.2,0.311
4.3,0.313
4.4,0.322
4.5,0.309
4.6,0.304
4.7,0.304
4.8,0.31
4.9,0.303
5.0,0.319
5.1,0.305
5.2,0.31
5.3,0.314
5.4,0.304
5.5,0.315
5.6,0.321
5.7,0.315
5.8,0.314
5.9,0.327
6.0,0.32
6.1,0.337
6.2,0.305
6.3,0.338
6.4,0.301
6.5,0.336
6.6,0.308
6.7,0.322
6.8,0.317
6.9,0.335
7.0,0.33
7.1,0.328
7.2,0.302
7.3,0.337
7.4,0.328
7.5,0.317
7.6,0.325
7.7,0.322
7.8,0.309
7.9,0.331
