# Created by LNB-MDT v1.0
# Bubble Sz Order Parameter (chain: both)
# DPPC:DUPC=401:240
# TYPE:Bubble
# Parameters:{'DPPC': ['PO4'], 'DUPC': ['PO4']}, Chain:both, K:15
Time (ns),Values
0.0,0.319
0.1,0.327
0.2,0.324
0.3,0.322
0.4,0.315
0.5,0.316
0.6,0.314
0.7,0.31
0.8,0.306
0.9,0.31
1.0,0.315
1.1,0.304
1.2,0.315
1.3,0.325
1.4,0.31
1.5,0.33
1.6,0.312
1.7,0.315
1.8,0.325
1.9,0.33
2.0,0.331
2.1,0.318
2.2,0.306
2.3,0.315
2.4,0.324
2.5,0.313
2.6,0.311
2.7,0.331
2.8,0.326
2.9,0.326
3.0,0.321
3.1,0.308
3.2,0.303
3.3,0.323
3.4,0.315
3.5,0.325
3.6,0.325
3.7,0.328
3.8,0.325
3.9,0.321
4.0,0.322
4.1,0.32
4.2,0.328
4.3,0.323
4.4,0.328
4.5,0.317
4.6,0.32
4.7,0.322
4.8,0.321
4.9,0.316
5.0,0.333
5.1,0.335
5.2,0.324
5.3,0.329
5.4,0.325
5.5,0.328
5.6,0.319
5.7,0.331
5.8,0.333
5.9,0.345
6.0,0.334
6.1,0.334
6.2,0.309
6.3,0.338
6.4,0.318
6.5,0.345
6.6,0.326
6.7,0.325
6.8,0.332
6.9,0.341
7.0,0.339
7.1,0.331
7.2,0.326
7.3,0.343
7.4,0.33
7.5,0.322
7.6,0.327
7.7,0.329
7.8,0.324
7.9,0.339
8.0,0.327
