# Created by LNB-MDT v1.0
# Bubble Sz Order Parameter (chain: sn1)
# DPPC:DUPC=401:240
# TYPE:Bubble
# Parameters:{'DPPC': ['PO4'], 'DUPC': ['PO4']}, Chain:sn1, K:15
Frames,Values
0,0.326
1,0.335
2,0.335
3,0.327
4,0.309
5,0.318
6,0.329
7,0.316
8,0.317
9,0.314
10,0.312
11,0.306
12,0.32
13,0.325
14,0.331
15,0.342
16,0.329
17,0.311
18,0.344
19,0.348
20,0.339
21,0.324
22,0.315
23,0.322
24,0.328
25,0.319
26,0.311
27,0.334
28,0.326
29,0.326
30,0.333
31,0.324
32,0.304
33,0.321
34,0.331
35,0.342
36,0.34
37,0.33
38,0.335
39,0.334
40,0.332
41,0.343
42,0.343
43,0.333
44,0.334
45,0.323
46,0.335
47,0.34
48,0.332
49,0.33
50,0.349
51,0.364
52,0.337
53,0.343
54,0.343
55,0.342
56,0.316
57,0.346
58,0.351
59,0.364
60,0.345
61,0.33
62,0.313
63,0.339
64,0.333
65,0.354
66,0.344
67,0.327
68,0.343
69,0.344
70,0.345
71,0.334
72,0.353
73,0.347
74,0.331
75,0.326
76,0.329
77,0.336
78,0.337
79,0.348
80,0.329
