# Created by LNB-MDT v1.0
# Bubble Sz Order Parameter (chain: sn1)
# DPPC:DUPC=401:240
# TYPE:Bubble
# Parameters:{'DPPC': ['PO4'], 'DUPC': ['PO4']}, Chain:sn1, K:21
Frames,Values
0,0.324
1,0.333
2,0.334
3,0.329
4,0.309
5,0.316
6,0.329
7,0.316
8,0.316
9,0.314
10,0.311
11,0.303
12,0.321
13,0.325
14,0.332
15,0.341
16,0.331
17,0.311
18,0.341
19,0.346
20,0.336
21,0.321
22,0.313
23,0.32
24,0.328
25,0.321
26,0.309
27,0.334
28,0.324
29,0.326
30,0.331
31,0.325
32,0.307
33,0.323
34,0.329
35,0.339
36,0.336
37,0.326
38,0.336
39,0.332
40,0.331
41,0.343
42,0.34
43,0.33
44,0.333
45,0.319
46,0.333
47,0.337
48,0.331
49,0.331
50,0.349
51,0.363
52,0.335
53,0.342
54,0.345
55,0.342
56,0.315
57,0.346
58,0.351
59,0.363
60,0.342
61,0.329
62,0.315
63,0.338
64,0.331
65,0.355
66,0.344
67,0.328
68,0.342
69,0.343
70,0.344
71,0.335
72,0.353
73,0.347
74,0.331
75,0.323
76,0.329
77,0.335
78,0.336
79,0.345
