# Created by LNB-MDT v1.0
# Anisotropy
# TYPE:Bubble
# Parameters:{'CHOL': ['ROH'], 'DAPC': ['PO4'], 'DPPC': ['PO4']}
Time (ns),Values
0.0,0.499
0.2,0.362
0.4,0.315
0.6,0.475
0.8,0.505
1.0,0.349
1.2,0.339
1.4,0.35
1.6,0.45
1.8,0.406
2.0,0.405
2.2,0.482
2.4,0.486
2.6,0.474
2.8,0.399
3.0,0.457
3.2,0.427
3.4,0.424
3.6,0.5
3.8,0.49
4.0,0.413
4.2,0.466
4.4,0.482
4.6,0.449
4.8,0.323
5.0,0.429
5.2,0.449
5.4,0.497
5.6,0.507
5.8,0.373
6.0,0.369
6.2,0.378
6.4,0.444
6.6,0.447
6.8,0.426
7.0,0.493
7.2,0.387
7.4,0.414
7.6,0.445
7.8,0.404
8.0,0.427
8.2,0.452
8.4,0.458
8.6,0.399
8.8,0.43
9.0,0.424
9.2,0.474
9.4,0.357
9.6,0.446
9.8,0.453
10.0,0.509
10.2,0.49
10.4,0.392
10.6,0.251
10.8,0.397
11.0,0.408
11.2,0.427
11.4,0.441
11.6,0.407
11.8,0.363
12.0,0.45
12.2,0.475
12.4,0.487
12.6,0.458
12.8,0.373
13.0,0.398
13.2,0.392
13.4,0.379
13.6,0.438
13.8,0.53
14.0,0.503
14.2,0.448
14.4,0.528
14.6,0.446
14.8,0.493
15.0,0.527
15.2,0.502
15.4,0.426
15.6,0.309
15.8,0.389
16.0,0.433
16.2,0.425
16.4,0.465
16.6,0.499
16.8,0.403
17.0,0.319
17.2,0.353
17.4,0.378
17.6,0.384
17.8,0.372
18.0,0.422
18.2,0.466
18.4,0.409
18.6,0.494
18.8,0.516
19.0,0.504
19.2,0.557
19.4,0.519
19.6,0.501
19.8,0.494
20.0,0.483
20.2,0.495
20.4,0.479
20.6,0.345
20.8,0.363
21.0,0.438
21.2,0.402
21.4,0.451
21.6,0.463
21.8,0.407
22.0,0.423
22.2,0.425
22.4,0.494
22.6,0.387
22.8,0.413
23.0,0.422
23.2,0.46
23.4,0.44
23.6,0.398
23.8,0.325
24.0,0.339
24.2,0.305
24.4,0.372
24.6,0.374
24.8,0.395
25.0,0.401
25.2,0.383
25.4,0.363
25.6,0.455
25.8,0.391
26.0,0.377
26.2,0.411
26.4,0.409
26.6,0.45
26.8,0.411
27.0,0.298
27.2,0.389
27.4,0.242
27.6,0.402
27.8,0.409
28.0,0.359
28.2,0.457
28.4,0.432
28.6,0.466
28.8,0.403
29.0,0.507
29.2,0.522
29.4,0.499
29.6,0.399
29.8,0.341
30.0,0.274
30.2,0.309
30.4,0.441
30.6,0.46
30.8,0.462
31.0,0.486
31.2,0.438
31.4,0.442
31.6,0.39
31.8,0.421
32.0,0.43
32.2,0.483
32.4,0.392
32.6,0.436
32.8,0.519
33.0,0.482
33.2,0.441
33.4,0.394
33.6,0.408
33.8,0.42
34.0,0.476
34.2,0.495
34.4,0.301
34.6,0.409
34.8,0.344
35.0,0.455
35.2,0.471
35.4,0.484
35.6,0.485
35.8,0.454
36.0,0.42
36.2,0.43
36.4,0.327
36.6,0.273
36.8,0.356
37.0,0.383
37.2,0.388
37.4,0.403
37.6,0.423
37.8,0.412
38.0,0.534
38.2,0.563
38.4,0.548
38.6,0.569
38.8,0.535
39.0,0.502
39.2,0.518
39.4,0.469
39.6,0.495
39.8,0.445
40.0,0.492
40.2,0.444
40.4,0.388
40.6,0.339
40.8,0.407
41.0,0.556
41.2,0.474
41.4,0.478
41.6,0.499
41.8,0.478
42.0,0.405
42.2,0.461
42.4,0.388
42.6,0.364
42.8,0.476
43.0,0.52
43.2,0.458
43.4,0.5
43.6,0.493
43.8,0.505
44.0,0.493
44.2,0.446
44.4,0.455
44.6,0.481
44.8,0.466
45.0,0.46
45.2,0.411
45.4,0.466
45.6,0.423
45.8,0.527
46.0,0.542
46.2,0.533
46.4,0.524
46.6,0.514
46.8,0.53
47.0,0.397
47.2,0.329
47.4,0.438
47.6,0.425
47.8,0.418
48.0,0.514
48.2,0.516
48.4,0.417
48.6,0.448
48.8,0.503
49.0,0.491
49.2,0.509
49.4,0.405
49.6,0.486
49.8,0.443
