# Created by LNB-MDT v1.0
# Bubble Area(nm^2)
# CHOL:DAPC:DPPC=251:376:627
# TYPE:Bubble
# Parameters:{'CHOL': ['ROH'], 'DAPC': ['PO4'], 'DPPC': ['PO4']}K:21, MaxAngle:140
# TIME_UNIT:ns
Time (ns),Values
0.0,0.882
0.2,0.821
0.4,0.854
0.6,0.823
0.8,0.859
1.0,0.819
1.2,0.843
1.4,0.873
1.6,0.823
1.8,0.85
2.0,0.841
2.2,0.831
2.4,0.841
2.6,0.834
2.8,0.799
3.0,0.843
3.2,0.807
3.4,0.845
3.6,0.886
3.8,0.842
4.0,0.852
4.2,0.826
4.4,0.85
4.6,0.845
4.8,0.856
5.0,0.864
5.2,0.843
5.4,0.909
5.6,0.835
5.8,0.846
6.0,0.844
6.2,0.854
6.4,0.833
6.6,0.831
6.8,0.86
7.0,0.842
7.2,0.87
7.4,0.816
7.6,0.825
7.8,0.837
8.0,0.823
8.2,0.822
8.4,0.815
8.6,0.827
8.8,0.851
9.0,0.824
9.2,0.868
9.4,0.832
9.6,0.84
9.8,0.829
10.0,0.867
10.2,0.856
10.4,0.846
10.6,0.851
10.8,0.844
11.0,0.88
11.2,0.883
11.4,0.841
11.6,0.813
11.8,0.87
12.0,0.84
12.2,0.82
12.4,0.803
12.6,0.821
12.8,0.812
13.0,0.812
13.2,0.845
13.4,0.831
13.6,0.854
13.8,0.828
14.0,0.807
14.2,0.812
14.4,0.811
14.6,0.824
14.8,0.82
15.0,0.814
15.2,0.856
15.4,0.835
15.6,0.834
15.8,0.85
16.0,0.857
16.2,0.803
16.4,0.882
16.6,0.829
16.8,0.767
17.0,0.832
17.2,0.834
17.4,0.822
17.6,0.827
17.8,0.848
18.0,0.827
18.2,0.825
18.4,0.837
18.6,0.82
18.8,0.824
19.0,0.787
19.2,0.814
19.4,0.805
19.6,0.797
19.8,0.827
20.0,0.82
20.2,0.795
20.4,0.824
20.6,0.826
20.8,0.82
21.0,0.809
21.2,0.795
21.4,0.786
21.6,0.799
21.8,0.83
22.0,0.806
22.2,0.792
22.4,0.847
22.6,0.798
22.8,0.816
23.0,0.842
23.2,0.838
23.4,0.821
23.6,0.821
23.8,0.798
24.0,0.806
24.2,0.82
24.4,0.809
24.6,0.815
24.8,0.801
25.0,0.798
25.2,0.782
25.4,0.798
25.6,0.822
25.8,0.808
26.0,0.793
26.2,0.827
26.4,0.839
26.6,0.815
26.8,0.823
27.0,0.816
27.2,0.797
27.4,0.813
27.6,0.813
27.8,0.828
28.0,0.811
28.2,0.8
28.4,0.789
28.6,0.829
28.8,0.818
29.0,0.802
29.2,0.79
29.4,0.795
29.6,0.806
29.8,0.807
30.0,0.803
30.2,0.812
30.4,0.84
30.6,0.815
30.8,0.797
31.0,0.818
31.2,0.828
31.4,0.809
31.6,0.832
31.8,0.81
32.0,0.823
32.2,0.803
32.4,0.808
32.6,0.814
32.8,0.797
33.0,0.824
33.2,0.831
33.4,0.824
33.6,0.781
33.8,0.831
34.0,0.808
34.2,0.845
34.4,0.834
34.6,0.843
34.8,0.806
35.0,0.824
35.2,0.83
35.4,0.83
35.6,0.817
35.8,0.84
36.0,0.829
36.2,0.799
36.4,0.795
36.6,0.778
36.8,0.816
37.0,0.831
37.2,0.829
37.4,0.811
37.6,0.824
37.8,0.807
38.0,0.823
38.2,0.814
38.4,0.818
38.6,0.827
38.8,0.816
39.0,0.812
39.2,0.834
39.4,0.812
39.6,0.818
39.8,0.804
40.0,0.819
40.2,0.816
40.4,0.814
40.6,0.803
40.8,0.803
41.0,0.804
41.2,0.788
41.4,0.807
41.6,0.791
41.8,0.826
42.0,0.783
42.2,0.782
42.4,0.8
42.6,0.811
42.8,0.825
43.0,0.819
43.2,0.809
43.4,0.785
43.6,0.795
43.8,0.797
44.0,0.809
44.2,0.821
44.4,0.82
44.6,0.823
44.8,0.791
45.0,0.817
45.2,0.828
45.4,0.822
45.6,0.802
45.8,0.841
46.0,0.795
46.2,0.786
46.4,0.818
46.6,0.803
46.8,0.807
47.0,0.82
47.2,0.806
47.4,0.81
47.6,0.84
47.8,0.819
48.0,0.841
48.2,0.819
48.4,0.817
48.6,0.783
48.8,0.817
49.0,0.817
49.2,0.793
49.4,0.808
49.6,0.823
49.8,0.825
