# Created by LNB-MDT v1.0
# Largest Cluster Size
# TYPE:Bubble
# Parameters:{'CHOL': ['R1'], 'DPPC': ['C1A', 'C1B']}Cutoff:12
Time (ns),Values
0.0,494
0.2,424
0.4,411
0.6,444
0.8,433
1.0,493
1.2,215
1.4,365
1.6,494
1.8,313
2.0,366
2.2,239
2.4,244
2.6,462
2.8,478
3.0,495
3.2,483
3.4,485
3.6,471
3.8,471
4.0,477
4.2,484
4.4,467
4.6,438
4.8,472
5.0,471
5.2,465
5.4,478
5.6,483
5.8,483
6.0,247
6.2,248
6.4,493
6.6,480
6.8,477
7.0,488
7.2,487
7.4,488
7.6,403
7.8,489
8.0,223
8.2,497
8.4,222
8.6,411
8.8,496
9.0,494
9.2,267
9.4,492
9.6,484
9.8,471
10.0,363
10.2,491
10.4,482
10.6,305
10.8,483
11.0,488
11.2,479
11.4,479
11.6,483
11.8,485
12.0,493
12.2,423
12.4,408
12.6,422
12.8,237
13.0,492
13.2,230
13.4,491
13.6,425
13.8,355
14.0,315
14.2,482
14.4,311
14.6,486
14.8,253
15.0,431
15.2,497
15.4,229
15.6,475
15.8,483
16.0,373
16.2,437
16.4,413
16.6,227
16.8,424
17.0,417
17.2,220
17.4,221
17.6,419
17.8,220
18.0,404
18.2,412
18.4,427
18.6,491
18.8,488
19.0,415
19.2,462
19.4,477
19.6,423
19.8,407
20.0,379
20.2,398
20.4,204
20.6,280
20.8,283
21.0,356
21.2,485
21.4,419
21.6,422
21.8,481
22.0,494
22.2,492
22.4,485
22.6,494
22.8,474
23.0,485
23.2,480
23.4,474
23.6,487
23.8,487
24.0,487
24.2,475
24.4,478
24.6,482
24.8,479
25.0,490
25.2,440
25.4,486
25.6,442
25.8,475
26.0,477
26.2,275
26.4,493
26.6,489
26.8,471
27.0,486
27.2,476
27.4,488
27.6,468
27.8,474
28.0,493
28.2,487
28.4,482
28.6,470
28.8,484
29.0,466
29.2,489
29.4,483
29.6,438
29.8,274
30.0,488
30.2,486
30.4,485
30.6,489
30.8,487
31.0,482
31.2,469
31.4,473
31.6,473
31.8,476
32.0,475
32.2,485
32.4,485
32.6,488
32.8,488
33.0,469
33.2,459
33.4,477
33.6,459
33.8,464
34.0,475
34.2,469
34.4,435
34.6,471
34.8,485
35.0,477
35.2,478
35.4,477
35.6,465
35.8,463
36.0,473
36.2,475
36.4,473
36.6,457
36.8,475
37.0,477
37.2,475
37.4,425
37.6,457
37.8,481
38.0,475
38.2,488
38.4,478
38.6,485
38.8,489
39.0,481
39.2,466
39.4,480
39.6,469
39.8,463
40.0,477
40.2,476
40.4,484
40.6,492
40.8,465
41.0,483
41.2,468
41.4,466
41.6,474
41.8,480
42.0,482
42.2,480
42.4,479
42.6,481
42.8,484
43.0,477
43.2,484
43.4,487
43.6,475
43.8,460
44.0,474
44.2,485
44.4,482
44.6,490
44.8,479
45.0,481
45.2,492
45.4,474
45.6,483
45.8,483
46.0,478
46.2,483
46.4,467
46.6,488
46.8,454
47.0,478
47.2,490
47.4,481
47.6,481
47.8,481
48.0,485
48.2,484
48.4,308
48.6,488
48.8,303
49.0,338
49.2,494
49.4,461
49.6,358
49.8,480
