# Created by LNB-MDT v1.0
# Density With Time
# TYPE:Density With Time
# Parameters:{'CHOL': ['ROH'], 'DAPC': ['PO4'], 'DPPC': ['PO4']}, {'O2': ['O2']}, Radius:90, MW:32
Time (ns),Values
0.0,123.364
0.2,123.364
0.4,123.364
0.6,123.364
0.8,123.364
1.0,123.364
1.2,123.364
1.4,123.364
1.6,123.364
1.8,123.364
2.0,123.364
2.2,123.364
2.4,123.364
2.6,123.364
2.8,123.364
3.0,123.364
3.2,123.364
3.4,123.364
3.6,123.364
3.8,123.364
4.0,123.364
4.2,123.364
4.4,123.364
4.6,123.364
4.8,123.364
5.0,123.364
5.2,123.364
5.4,123.364
5.6,123.364
5.8,123.364
6.0,123.364
6.2,123.364
6.4,123.364
6.6,123.364
6.8,123.364
7.0,123.364
7.2,123.364
7.4,123.364
7.6,123.364
7.8,123.364
8.0,123.364
8.2,123.364
8.4,123.364
8.6,123.364
8.8,123.364
9.0,123.364
9.2,123.364
9.4,123.364
9.6,123.364
9.8,123.364
10.0,123.364
10.2,123.364
10.4,123.364
10.6,123.364
10.8,123.364
11.0,123.364
11.2,123.364
11.4,123.364
11.6,123.364
11.8,123.364
12.0,123.364
12.2,123.364
12.4,123.364
12.6,123.364
12.8,123.364
13.0,123.364
13.2,123.364
13.4,123.364
13.6,123.364
13.8,123.364
14.0,123.364
14.2,123.364
14.4,123.364
14.6,123.364
14.8,123.364
15.0,123.364
15.2,123.364
15.4,123.364
15.6,123.364
15.8,123.364
16.0,123.364
16.2,123.364
16.4,123.364
16.6,123.364
16.8,123.364
17.0,123.364
17.2,123.364
17.4,123.364
17.6,123.364
17.8,123.364
18.0,123.364
18.2,123.364
18.4,123.364
18.6,123.364
18.8,123.364
19.0,123.364
19.2,123.364
19.4,123.364
19.6,123.364
19.8,123.364
20.0,123.364
20.2,123.364
20.4,123.364
20.6,123.364
20.8,123.364
21.0,123.364
21.2,123.364
21.4,123.364
21.6,123.364
21.8,123.364
22.0,123.364
22.2,123.364
22.4,123.364
22.6,123.364
22.8,123.364
23.0,123.364
23.2,123.364
23.4,123.364
23.6,123.364
23.8,123.364
24.0,123.364
24.2,123.364
24.4,123.364
24.6,123.364
24.8,123.364
25.0,123.364
25.2,123.364
25.4,123.364
25.6,123.364
25.8,123.364
26.0,123.364
26.2,123.364
26.4,123.364
26.6,123.364
26.8,123.364
27.0,123.364
27.2,123.364
27.4,123.364
27.6,123.364
27.8,123.364
28.0,123.364
28.2,123.364
28.4,123.364
28.6,123.364
28.8,123.364
29.0,123.364
29.2,123.364
29.4,123.364
29.6,123.364
29.8,123.364
30.0,123.364
30.2,123.364
30.4,123.364
30.6,123.364
30.8,123.364
31.0,123.364
31.2,123.364
31.4,123.364
31.6,123.364
31.8,123.364
32.0,123.364
32.2,123.364
32.4,123.364
32.6,123.364
32.8,123.364
33.0,123.364
33.2,123.364
33.4,123.364
33.6,123.364
33.8,123.364
34.0,123.364
34.2,123.364
34.4,123.364
34.6,123.364
34.8,123.364
35.0,123.364
35.2,123.364
35.4,123.364
35.6,123.364
35.8,123.364
36.0,123.364
36.2,123.364
36.4,123.364
36.6,123.364
36.8,123.364
37.0,123.364
37.2,123.364
37.4,123.364
37.6,123.364
37.8,123.364
38.0,123.364
38.2,123.364
38.4,123.364
38.6,123.364
38.8,123.364
39.0,123.364
39.2,123.364
39.4,123.364
39.6,123.364
39.8,123.364
40.0,123.364
40.2,123.364
40.4,123.364
40.6,123.364
40.8,123.364
41.0,123.364
41.2,123.364
41.4,123.364
41.6,123.364
41.8,123.364
42.0,123.364
42.2,123.364
42.4,123.364
42.6,123.364
42.8,123.364
43.0,123.364
43.2,123.364
43.4,123.364
43.6,123.364
43.8,123.364
44.0,123.364
44.2,123.364
44.4,123.364
44.6,123.364
44.8,123.364
45.0,123.364
45.2,123.364
45.4,123.364
45.6,123.364
45.8,123.364
46.0,123.364
46.2,123.364
46.4,123.364
46.6,123.364
46.8,123.364
47.0,123.364
47.2,123.364
47.4,123.364
47.6,123.364
47.8,123.364
48.0,123.364
48.2,123.364
48.4,123.364
48.6,123.364
48.8,123.364
49.0,123.364
49.2,123.364
49.4,123.364
49.6,123.364
49.8,123.364
