# Created by LNB-MDT v1.0
# Gyration (nm)
# TYPE:Bubble
# Parameters:{'CHOL': ['ROH'], 'DAPC': ['PO4'], 'DPPC': ['PO4']}
Time (ns),Values
0.0,9.162
0.2,9.159
0.4,9.154
0.6,9.137
0.8,9.195
1.0,9.145
1.2,9.158
1.4,9.199
1.6,9.15
1.8,9.155
2.0,9.147
2.2,9.156
2.4,9.171
2.6,9.196
2.8,9.19
3.0,9.186
3.2,9.17
3.4,9.147
3.6,9.131
3.8,9.198
4.0,9.166
4.2,9.172
4.4,9.146
4.6,9.189
4.8,9.158
5.0,9.155
5.2,9.141
5.4,9.172
5.6,9.15
5.8,9.171
6.0,9.153
6.2,9.208
6.4,9.194
6.6,9.165
6.8,9.195
7.0,9.142
7.2,9.156
7.4,9.119
7.6,9.139
7.8,9.16
8.0,9.155
8.2,9.125
8.4,9.183
8.6,9.136
8.8,9.128
9.0,9.16
9.2,9.177
9.4,9.151
9.6,9.174
9.8,9.151
10.0,9.148
10.2,9.116
10.4,9.145
10.6,9.134
10.8,9.165
11.0,9.191
11.2,9.161
11.4,9.136
11.6,9.116
11.8,9.171
12.0,9.169
12.2,9.18
12.4,9.18
12.6,9.165
12.8,9.199
13.0,9.148
13.2,9.149
13.4,9.159
13.6,9.171
13.8,9.17
14.0,9.148
14.2,9.18
14.4,9.154
14.6,9.158
14.8,9.173
15.0,9.181
15.2,9.205
15.4,9.15
15.6,9.164
15.8,9.182
16.0,9.17
16.2,9.145
16.4,9.182
16.6,9.185
16.8,9.128
17.0,9.158
17.2,9.146
17.4,9.143
17.6,9.131
17.8,9.18
18.0,9.167
18.2,9.163
18.4,9.207
18.6,9.175
18.8,9.181
19.0,9.124
19.2,9.146
19.4,9.136
19.6,9.112
19.8,9.145
20.0,9.18
20.2,9.125
20.4,9.13
20.6,9.177
20.8,9.11
21.0,9.148
21.2,9.177
21.4,9.169
21.6,9.153
21.8,9.167
22.0,9.182
22.2,9.169
22.4,9.151
22.6,9.15
22.8,9.173
23.0,9.144
23.2,9.149
23.4,9.163
23.6,9.144
23.8,9.168
24.0,9.161
24.2,9.183
24.4,9.158
24.6,9.131
24.8,9.158
25.0,9.153
25.2,9.13
25.4,9.147
25.6,9.128
25.8,9.169
26.0,9.124
26.2,9.152
26.4,9.126
26.6,9.203
26.8,9.172
27.0,9.192
27.2,9.143
27.4,9.173
27.6,9.107
27.8,9.161
28.0,9.203
28.2,9.182
28.4,9.169
28.6,9.168
28.8,9.172
29.0,9.156
29.2,9.158
29.4,9.157
29.6,9.164
29.8,9.174
30.0,9.17
30.2,9.175
30.4,9.203
30.6,9.16
30.8,9.22
31.0,9.184
31.2,9.207
31.4,9.178
31.6,9.185
31.8,9.182
32.0,9.156
32.2,9.176
32.4,9.176
32.6,9.165
32.8,9.161
33.0,9.179
33.2,9.144
33.4,9.109
33.6,9.156
33.8,9.128
34.0,9.14
34.2,9.155
34.4,9.141
34.6,9.16
34.8,9.152
35.0,9.161
35.2,9.158
35.4,9.202
35.6,9.174
35.8,9.149
36.0,9.189
36.2,9.153
36.4,9.115
36.6,9.113
36.8,9.131
37.0,9.163
37.2,9.131
37.4,9.141
37.6,9.13
37.8,9.14
38.0,9.178
38.2,9.143
38.4,9.165
38.6,9.168
38.8,9.146
39.0,9.142
39.2,9.163
39.4,9.194
39.6,9.192
39.8,9.175
40.0,9.19
40.2,9.163
40.4,9.158
40.6,9.166
40.8,9.17
41.0,9.175
41.2,9.172
41.4,9.179
41.6,9.161
41.8,9.157
42.0,9.193
42.2,9.154
42.4,9.166
42.6,9.17
42.8,9.123
43.0,9.154
43.2,9.143
43.4,9.163
43.6,9.125
43.8,9.165
44.0,9.165
44.2,9.151
44.4,9.155
44.6,9.15
44.8,9.119
45.0,9.157
45.2,9.166
45.4,9.154
45.6,9.153
45.8,9.174
46.0,9.182
46.2,9.192
46.4,9.149
46.6,9.135
46.8,9.148
47.0,9.141
47.2,9.121
47.4,9.151
47.6,9.122
47.8,9.162
48.0,9.161
48.2,9.179
48.4,9.197
48.6,9.19
48.8,9.166
49.0,9.17
49.2,9.166
49.4,9.147
49.6,9.178
49.8,9.166
