# Created by LNB-MDT v1.0
# Bubble Height (nm)
# DAPC:DPPC:CHOL=376:627:251
# TYPE:Bubble
# Parameters:{'DAPC': (['PO4'], ['D4A', 'D4B']), 'DPPC': (['PO4'], ['C4A', 'C4B']), 'CHOL': (['ROH'], ['R5'])}K:21
# TIME_UNIT:ns
Time (ns),Values
0.0,1.379
0.2,1.375
0.4,1.373
0.6,1.381
0.8,1.359
1.0,1.366
1.2,1.375
1.4,1.371
1.6,1.363
1.8,1.377
2.0,1.368
2.2,1.372
2.4,1.37
2.6,1.366
2.8,1.367
3.0,1.368
3.2,1.374
3.4,1.367
3.6,1.372
3.8,1.369
4.0,1.381
4.2,1.374
4.4,1.368
4.6,1.363
4.8,1.358
5.0,1.359
5.2,1.369
5.4,1.366
5.6,1.368
5.8,1.374
6.0,1.371
6.2,1.38
6.4,1.37
6.6,1.373
6.8,1.363
7.0,1.373
7.2,1.355
7.4,1.37
7.6,1.369
7.8,1.36
8.0,1.374
8.2,1.38
8.4,1.361
8.6,1.377
8.8,1.363
9.0,1.374
9.2,1.358
9.4,1.371
9.6,1.372
9.8,1.367
10.0,1.358
10.2,1.364
10.4,1.375
10.6,1.369
10.8,1.359
11.0,1.367
11.2,1.368
11.4,1.371
11.6,1.372
11.8,1.368
12.0,1.366
12.2,1.377
12.4,1.371
12.6,1.361
12.8,1.362
13.0,1.357
13.2,1.37
13.4,1.368
13.6,1.365
13.8,1.367
14.0,1.371
14.2,1.367
14.4,1.358
14.6,1.374
14.8,1.375
15.0,1.372
15.2,1.365
15.4,1.369
15.6,1.376
15.8,1.372
16.0,1.366
16.2,1.375
16.4,1.364
16.6,1.365
16.8,1.364
17.0,1.363
17.2,1.352
17.4,1.368
17.6,1.37
17.8,1.374
18.0,1.37
18.2,1.368
18.4,1.364
18.6,1.369
18.8,1.367
19.0,1.375
19.2,1.361
19.4,1.362
19.6,1.359
19.8,1.36
20.0,1.364
20.2,1.366
20.4,1.366
20.6,1.366
20.8,1.381
21.0,1.372
21.2,1.373
21.4,1.369
21.6,1.381
21.8,1.363
22.0,1.369
22.2,1.372
22.4,1.361
22.6,1.371
22.8,1.359
23.0,1.368
23.2,1.373
23.4,1.362
23.6,1.373
23.8,1.363
24.0,1.368
24.2,1.361
24.4,1.372
24.6,1.37
24.8,1.372
25.0,1.37
25.2,1.377
25.4,1.372
25.6,1.371
25.8,1.362
26.0,1.381
26.2,1.373
26.4,1.371
26.6,1.364
26.8,1.375
27.0,1.37
27.2,1.374
27.4,1.366
27.6,1.368
27.8,1.368
28.0,1.364
28.2,1.362
28.4,1.363
28.6,1.361
28.8,1.365
29.0,1.377
29.2,1.377
29.4,1.359
29.6,1.364
29.8,1.377
30.0,1.365
30.2,1.37
30.4,1.353
30.6,1.372
30.8,1.358
31.0,1.361
31.2,1.364
31.4,1.365
31.6,1.358
31.8,1.355
32.0,1.371
32.2,1.367
32.4,1.362
32.6,1.375
32.8,1.374
33.0,1.369
33.2,1.373
33.4,1.382
33.6,1.364
33.8,1.365
34.0,1.367
34.2,1.371
34.4,1.374
34.6,1.36
34.8,1.374
35.0,1.368
35.2,1.374
35.4,1.361
35.6,1.365
35.8,1.367
36.0,1.37
36.2,1.368
36.4,1.376
36.6,1.367
36.8,1.378
37.0,1.381
37.2,1.363
37.4,1.371
37.6,1.37
37.8,1.37
38.0,1.371
38.2,1.364
38.4,1.364
38.6,1.376
38.8,1.369
39.0,1.374
39.2,1.36
39.4,1.363
39.6,1.362
39.8,1.362
40.0,1.381
40.2,1.371
40.4,1.366
40.6,1.372
40.8,1.368
41.0,1.367
41.2,1.377
41.4,1.373
41.6,1.371
41.8,1.37
42.0,1.367
42.2,1.363
42.4,1.373
42.6,1.356
42.8,1.374
43.0,1.369
43.2,1.37
43.4,1.371
43.6,1.369
43.8,1.368
44.0,1.37
44.2,1.369
44.4,1.369
44.6,1.376
44.8,1.369
45.0,1.37
45.2,1.369
45.4,1.374
45.6,1.358
45.8,1.362
46.0,1.364
46.2,1.362
46.4,1.369
46.6,1.367
46.8,1.381
47.0,1.37
47.2,1.367
47.4,1.374
47.6,1.377
47.8,1.377
48.0,1.371
48.2,1.371
48.4,1.365
48.6,1.352
48.8,1.37
49.0,1.366
49.2,1.372
49.4,1.368
49.6,1.367
49.8,1.37
