# Created by LNB-MDT v1.0
# Bubble Sz Order Parameter (chain: sn1 and sn2)
# DAPC:DPPC=376:627
# TYPE:Bubble
# Parameters:{'DAPC': ['PO4'], 'DPPC': ['PO4']}, Chain:sn1 and sn2, K:21
# TIME_UNIT:ns
Time (ns),Values
0.0,0.336
0.2,0.34
0.4,0.347
0.6,0.358
0.8,0.332
1.0,0.338
1.2,0.341
1.4,0.334
1.6,0.321
1.8,0.342
2.0,0.339
2.2,0.335
2.4,0.334
2.6,0.334
2.8,0.332
3.0,0.334
3.2,0.344
3.4,0.338
3.6,0.348
3.8,0.342
4.0,0.34
4.2,0.354
4.4,0.344
4.6,0.327
4.8,0.337
5.0,0.327
5.2,0.334
5.4,0.331
5.6,0.332
5.8,0.34
6.0,0.342
6.2,0.343
6.4,0.338
6.6,0.353
6.8,0.332
7.0,0.342
7.2,0.33
7.4,0.344
7.6,0.342
7.8,0.326
8.0,0.346
8.2,0.356
8.4,0.329
8.6,0.338
8.8,0.33
9.0,0.343
9.2,0.331
9.4,0.347
9.6,0.346
9.8,0.34
10.0,0.338
10.2,0.335
10.4,0.345
10.6,0.331
10.8,0.324
11.0,0.334
11.2,0.33
11.4,0.335
11.6,0.33
11.8,0.329
12.0,0.341
12.2,0.35
12.4,0.343
12.6,0.338
12.8,0.328
13.0,0.348
13.2,0.336
13.4,0.336
13.6,0.338
13.8,0.327
14.0,0.341
14.2,0.334
14.4,0.331
14.6,0.352
14.8,0.348
15.0,0.341
15.2,0.324
15.4,0.339
15.6,0.348
15.8,0.335
16.0,0.346
16.2,0.348
16.4,0.342
16.6,0.331
16.8,0.349
17.0,0.344
17.2,0.321
17.4,0.326
17.6,0.346
17.8,0.33
18.0,0.343
18.2,0.332
18.4,0.342
18.6,0.326
18.8,0.334
19.0,0.352
19.2,0.33
19.4,0.329
19.6,0.329
19.8,0.324
20.0,0.321
20.2,0.332
20.4,0.321
20.6,0.341
20.8,0.353
21.0,0.348
21.2,0.347
21.4,0.338
21.6,0.361
21.8,0.321
22.0,0.343
22.2,0.336
22.4,0.333
22.6,0.33
22.8,0.342
23.0,0.323
23.2,0.34
23.4,0.324
23.6,0.334
23.8,0.329
24.0,0.333
24.2,0.33
24.4,0.336
24.6,0.333
24.8,0.341
25.0,0.347
25.2,0.351
25.4,0.344
25.6,0.354
25.8,0.329
26.0,0.363
26.2,0.356
26.4,0.347
26.6,0.333
26.8,0.345
27.0,0.343
27.2,0.344
27.4,0.337
27.6,0.349
27.8,0.331
28.0,0.329
28.2,0.331
28.4,0.328
28.6,0.33
28.8,0.332
29.0,0.339
29.2,0.346
29.4,0.331
29.6,0.345
29.8,0.333
30.0,0.325
30.2,0.344
30.4,0.326
30.6,0.341
30.8,0.324
31.0,0.33
31.2,0.331
31.4,0.326
31.6,0.318
31.8,0.322
32.0,0.349
32.2,0.329
32.4,0.338
32.6,0.352
32.8,0.347
33.0,0.337
33.2,0.334
33.4,0.363
33.6,0.339
33.8,0.341
34.0,0.333
34.2,0.351
34.4,0.344
34.6,0.318
34.8,0.343
35.0,0.335
35.2,0.334
35.4,0.328
35.6,0.332
35.8,0.333
36.0,0.33
36.2,0.334
36.4,0.359
36.6,0.348
36.8,0.349
37.0,0.359
37.2,0.336
37.4,0.339
37.6,0.35
37.8,0.339
38.0,0.329
38.2,0.339
38.4,0.341
38.6,0.341
38.8,0.353
39.0,0.348
39.2,0.329
39.4,0.331
39.6,0.33
39.8,0.321
40.0,0.357
40.2,0.343
40.4,0.34
40.6,0.348
40.8,0.332
41.0,0.344
41.2,0.34
41.4,0.35
41.6,0.35
41.8,0.347
42.0,0.331
42.2,0.34
42.4,0.339
42.6,0.319
42.8,0.355
43.0,0.336
43.2,0.332
43.4,0.345
43.6,0.348
43.8,0.342
44.0,0.347
44.2,0.336
44.4,0.323
44.6,0.35
44.8,0.337
45.0,0.33
45.2,0.345
45.4,0.35
45.6,0.336
45.8,0.347
46.0,0.336
46.2,0.327
46.4,0.343
46.6,0.336
46.8,0.363
47.0,0.345
47.2,0.336
47.4,0.345
47.6,0.341
47.8,0.343
48.0,0.331
48.2,0.342
48.4,0.321
48.6,0.324
48.8,0.337
49.0,0.342
49.2,0.354
49.4,0.336
49.6,0.342
49.8,0.327
